Step;A;B;C;D;E;F;G;H;I
Read;38.136;55.4594;51.2935;67.9032;65.4916;80.9514;76.992;43.6978;47.7263
Gray;2.80169;2.00625;1.9969;2.04671;2.05063;2.0295;2.04912;1.45684;2.73951
Blur;39.8359;1.97697;1.87071;1.94044;2.02467;1.86407;2.03916;1.27481;1.81154
Bilateral;3001.54;1817.22;1854.04;1822.69;1872.05;1808.17;1897.13;2894.76;3377.44
Adaptative Mean;25.7209;4.22231;4.21688;4.27091;4.05236;4.09311;4.10941;2.67219;2.96169
Adaptative Gaussian;44.5059;14.5144;14.6922;14.9065;14.8957;14.8226;14.8782;9.91626;9.85467
Background Tresh;17.0266;4.00224;3.72422;3.81388;3.95062;3.8981;4.17582;2.5617;2.96712
Adaptative on Bg Tresh;2.92274;5.03012;5.36339;5.30543;3.9781;4.3971;4.04722;2.97648;3.68286
Canny on Gray;34.532;9.70434;9.08067;12.7756;11.1874;10.4548;12.663;9.2298;6.64394
Canny on Blur;7.23592;9.4876;10.7431;10.5327;11.7532;10.2254;11.5898;8.2958;7.77416
Canny on Bilateral;6.66387;10.7135;10.1653;11.3037;9.83083;9.01305;10.6673;6.86522;6.5887
Canny on Bg Tresh;7.20664;9.89331;9.20595;13.5128;8.88928;9.22557;10.1789;7.51998;7.29569
